algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.213937167,2.148028962188254,20.931034088134766,5915,33,5526,Continuous,0,262,5526,10,origA1,4921,65,2670,1342,1771,36,1,285.037759,MaxSatDddLadderSc,0.064673393,ok,0.27860986,29,52,172,5526
0.18418847100000002,2.3333333333333335,19.0,3735,33,5804,Continuous,1,201,5804,19,origA2,6391,83,2275,1193,2550,76,1,457.435027,MaxSatDddLadderSc,0.268606556,ok,0.452794027,25,55,68,5804
0.13048428,1.7677595628415301,22.375,2061,33,1329,Continuous,2,133,1329,7,origA3,1873,22,1294,525,671,27,1,160.832673,MaxSatDddLadderSc,0.019335895,ok,0.149817475,16,15,91,1329
0.109012682,1.9293478260869565,19.214284896850586,1175,33,2706,Continuous,3,98,2706,8,origA4,1759,21,1065,478,637,25,1,128.114179,MaxSatDddLadderSc,0.010007698,ok,0.11901758,14,13,60,2706
0.040972391999999996,1.9683544303797469,19.25,876,33,2634,Continuous,4,104,2634,8,origA5,1482,16,933,434,517,15,1,51.096592,MaxSatDddLadderSc,0.004701,ok,0.045672292,12,11,76,2634
0.05161969,1.738562091503268,18.625,307,33,2043,Continuous,5,93,2043,4,origA6,744,5,532,219,261,10,1,65.75408900000001,MaxSatDddLadderSc,0.0048475,ok,0.05646569,8,2,79,2043
0.053544497,2.657142857142857,12.625,126,33,1918,Continuous,6,81,1918,9,origA7,1095,12,558,332,375,12,1,72.02599699999999,MaxSatDddLadderSc,0.0073294,ok,0.060870497,8,7,62,1918
0.41061249700000246,4.778079710144928,19.214284896850586,4877,33,,Continuous,7,668,22435,35,origA8,122545,423,5275,3762,41210,560,1,120622.77489,MaxSatDddLadderSc,120.189207892,timeout,120.599819589,28,102,5,24327
0.08056470399999999,3.1690997566909975,20.049999237060547,2616,33,6178,Continuous,8,246,6178,12,origA9,6400,103,2605,1654,2350,64,1,169.479409,MaxSatDddLadderSc,0.083978305,ok,0.164542409,20,70,110,6178
0.04873949999999999,3.3196850393700785,18.176469802856445,1632,33,4746,Continuous,9,213,4746,15,origA10,5081,79,2108,1357,1834,45,1,117.16080600000001,MaxSatDddLadderSc,0.065295105,ok,0.114033005,17,48,120,4746
0.1424362050000001,3.4204918032786886,19.83333396911621,6162,33,3331,Continuous,10,265,3331,13,origA11,24847,199,4173,2657,9383,136,1,1226.990161,MaxSatDddLadderSc,1.075674955,ok,1.2181104600000001,30,92,35,3331
0.36115310899999997,3.9734726688102895,21.714284896850586,6393,33,,Continuous,11,588,4213,14,origA12,127288,235,4943,3372,42202,416,1,120200.126727,MaxSatDddLadderSc,119.810392319,timeout,120.171544128,28,100,71,4247
0.07820249400000001,1.250778816199377,17.33333396911621,2022,25,969,Continuous,12,92,969,4,origB1,519,5,803,153,181,6,1,92.465694,MaxSatDddLadderSc,0.0038134,ok,0.082012394,18,3,83,969
0.016622699,1.5163398692810457,14.800000190734863,87,25,347,Continuous,13,52,347,4,origB2,251,4,232,72,86,4,1,22.121899,MaxSatDddLadderSc,0.0010003,ok,0.017621599,5,3,45,347
0.021946598,2.491329479768786,16.799999237060547,136,20,629,Continuous,14,85,629,6,origB3,836,9,431,244,293,10,1,29.585898,MaxSatDddLadderSc,0.0025315,ok,0.024476698,5,6,69,629
0.09559689499999999,2.411854103343465,15.949999809265137,2246,25,53607,Continuous,15,115,53607,19,origB4,3136,86,1587,875,1092,25,1,141.529291,MaxSatDddLadderSc,0.036160997,ok,0.131751492,20,39,49,53607
0.051360796,1.7978142076502732,17.799999237060547,136,25,288,Continuous,16,104,288,4,origB5,460,4,329,139,159,4,1,66.038595,MaxSatDddLadderSc,0.0039527,ok,0.055310896,5,3,97,288
0.0414344,1.3184713375796178,15.199999809265137,93,25,176,Continuous,17,41,176,3,origB6,159,2,207,47,54,3,1,57.0948,MaxSatDddLadderSc,0.0022561,ok,0.0436882,5,1,37,176
0.3564920029999996,4.232804232804233,15.25,2865,25,65828,Continuous,18,587,65828,44,origB7,67579,364,3200,2472,24124,430,2,75869.376554,MaxSatDddLadderSc,75.491722851,ok,75.848213654,24,115,41,65828
0.033467201,1.2877697841726619,13.399999618530273,72,25,676,Continuous,19,43,676,2,origB8,136,1,179,39,46,5,1,45.844901,MaxSatDddLadderSc,0.0018109,ok,0.035275301,5,0,38,676
0.051713300000000004,3.0761421319796955,13.571428298950195,150,25,5967,Continuous,20,109,5967,11,origB9,1398,18,606,385,502,19,1,72.2247,MaxSatDddLadderSc,0.0108646,ok,0.0625757,7,12,78,5967
0.0462429,2.7578947368421054,11.375,130,25,5747,Continuous,21,81,5747,8,origB10,1100,17,524,307,391,17,1,61.2812,MaxSatDddLadderSc,0.0052707,ok,0.0515113,8,11,53,5747
0.3018397770000121,3.2654088050314467,15.399999618530273,3202,25,,Continuous,22,508,75131,40,origB11,93522,355,2596,1688,30657,447,1,120209.492399,MaxSatDddLadderSc,119.864666323,timeout,120.166504,25,59,0,76348
0.0596063,1.6816239316239316,16.214284896850586,970,25,918,Continuous,23,54,918,8,origB12,986,26,787,281,339,6,1,71.714099,MaxSatDddLadderSc,0.0033904,ok,0.0629935,14,19,29,918
0.348464596,4.4843121480289625,20.931034088134766,5915,33,9621,Continuous,24,235,9621,18,trackA1,14827,301,5574,3933,5327,84,2,996.433491,MaxSatDddLadderSc,0.637588295,ok,0.986051691,29,94,54,9621
