algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.16516935600000002,1.4955752212389382,20.931034088134766,5915,33,11,FiniteSteps123,0,127,11,7,origA1,1898,30,1859,569,644,11,1,196.092783,MaxSatDddLadderSc,0.017438615,ok,0.182606871,29,23,91,11
0.083719581,1.5723076923076924,19.0,3735,33,25,FiniteSteps123,1,94,25,6,origA2,1766,36,1533,504,595,25,2,95.15988899999999,MaxSatDddLadderSc,0.004685402,ok,0.088403083,25,17,49,25
0.06881376,1.7349726775956285,22.375,2061,33,10,FiniteSteps123,2,94,10,8,origA3,1653,23,1270,501,557,10,2,81.612477,MaxSatDddLadderSc,0.00598121,ok,0.07479367,16,16,65,10
0.08412927799999999,1.9927536231884058,19.214284896850586,1175,33,17,FiniteSteps123,3,143,17,6,origA4,1720,21,1100,515,584,17,1,105.338898,MaxSatDddLadderSc,0.012370712,ok,0.09649819,14,15,109,17
0.08404007799999999,1.6835443037974684,19.25,876,33,15,FiniteSteps123,4,114,15,4,origA5,1029,12,798,305,349,15,1,103.406797,MaxSatDddLadderSc,0.008871309,ok,0.092908787,12,7,90,15
0.052941127,1.6993464052287581,18.625,307,33,10,FiniteSteps123,5,93,10,4,origA6,682,6,520,205,230,10,1,66.34583400000001,MaxSatDddLadderSc,0.004408202,ok,0.057344329,8,3,78,10
0.042018520999999996,1.8952380952380952,12.625,126,33,10,FiniteSteps123,6,55,10,6,origA7,598,10,398,174,200,10,1,53.245527,MaxSatDddLadderSc,0.002481401,ok,0.044497822,8,5,38,10
0.231163717,3.5942028985507246,19.214284896850586,4877,33,31,FiniteSteps123,7,179,31,22,origA8,8796,253,3968,2605,2935,31,1,316.47916100000003,MaxSatDddLadderSc,0.075757639,ok,0.306920056,28,86,60,31
0.12410026199999999,2.1885644768856447,20.049999237060547,2616,33,18,FiniteSteps123,8,126,18,10,origA9,3007,66,1799,895,1005,18,1,151.442077,MaxSatDddLadderSc,0.01808761,ok,0.142186172,20,47,59,18
0.08925889099999999,1.894488188976378,18.176469802856445,1632,33,17,FiniteSteps123,9,87,17,9,origA10,1763,40,1203,506,595,17,1,107.978465,MaxSatDddLadderSc,0.009846586,ok,0.099103177,17,23,45,17
0.22298922,2.5737704918032787,19.83333396911621,6162,33,23,FiniteSteps123,10,115,23,13,origA11,5884,126,3140,1718,2014,23,1,289.15573900000004,MaxSatDddLadderSc,0.056381132,ok,0.279368452,30,67,23,23
0.218079931,2.902733118971061,21.714284896850586,6393,33,24,FiniteSteps123,11,184,24,10,origA12,7266,147,3611,2155,2469,24,1,346.764267,MaxSatDddLadderSc,0.122199045,ok,0.340276976,28,83,75,24
