algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_clauses_total,num_conflicts,num_time_points,num_traveltime,num_vars_total,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.16184426699999999,1.8061142397425582,20.931034088134766,5915,33,34,InfiniteSteps180,0,144,34,11,origA1,3093,43,2245,952,1045,12,1,186.543463,MaxSatDddLadderSc,0.008228999,ok,0.170072366,29,31,99,34
0.138917273,2.164102564102564,19.0,3735,33,37,InfiniteSteps180,1,211,37,11,origA2,3637,68,2110,1044,1239,37,1,168.04496699999999,MaxSatDddLadderSc,0.023051895,ok,0.161968468,25,43,129,37
0.136987374,2.0368852459016393,22.375,2061,33,14,InfiniteSteps180,2,184,14,8,origA3,2364,30,1491,710,807,14,1,172.244666,MaxSatDddLadderSc,0.025453994,ok,0.162438168,16,23,147,14
0.069914986,1.7826086956521738,19.214284896850586,1175,33,22,InfiniteSteps180,3,85,22,6,origA4,1377,18,984,403,470,22,1,84.365983,MaxSatDddLadderSc,0.005512699,ok,0.075423785,14,10,53,22
0.074697884,2.0780590717299576,19.25,876,33,19,InfiniteSteps180,4,123,19,11,origA5,1620,19,985,481,551,19,1,93.918482,MaxSatDddLadderSc,0.009618399,ok,0.084314483,12,12,90,19
0.04628339,1.6993464052287581,18.625,307,33,14,InfiniteSteps180,5,97,14,4,origA6,697,6,520,205,237,14,1,58.396188,MaxSatDddLadderSc,0.003779,ok,0.05006079,8,3,78,14
0.036978591000000005,2.080952380952381,12.625,126,33,15,InfiniteSteps180,6,80,15,6,origA7,735,10,437,213,248,15,1,47.252088,MaxSatDddLadderSc,0.0030645,ok,0.040041091,8,5,60,15
0.32538962400000004,6.449275362318841,19.214284896850586,4877,33,136,InfiniteSteps180,7,281,136,47,origA8,18850,534,7120,5515,6346,46,1,977.0004650000001,MaxSatDddLadderSc,0.640655943,ok,0.966043367,28,183,50,136
0.090430377,2.650851581508516,20.049999237060547,2616,33,40,InfiniteSteps180,8,177,40,13,origA9,4261,90,2179,1230,1453,40,1,122.64907099999999,MaxSatDddLadderSc,0.027028295,ok,0.117457072,20,56,79,40
0.08419188,3.222047244094488,18.176469802856445,1632,33,33,InfiniteSteps180,9,221,33,18,origA10,4353,84,2046,1295,1472,23,1,126.94087000000002,MaxSatDddLadderSc,0.037042591,ok,0.121229171,17,58,138,33
0.214336448,2.712295081967213,19.83333396911621,6162,33,25,InfiniteSteps180,10,138,25,11,origA11,6433,144,3309,1875,2203,25,1,304.154327,MaxSatDddLadderSc,0.08408598,ok,0.298421528,30,78,33,25
0.150750512,2.6414790996784565,21.714284896850586,6393,33,29,InfiniteSteps180,11,185,29,11,origA12,6337,115,3286,1861,2176,29,1,226.33182,MaxSatDddLadderSc,0.069603008,ok,0.22035202,28,59,97,29
0.040854304,1.2071651090342679,17.33333396911621,2022,25,7,InfiniteSteps180,12,74,7,4,origB1,440,5,775,125,154,7,1,50.407503999999996,MaxSatDddLadderSc,0.0057717,ok,0.046624904,18,3,62,7
0.017454901,1.5163398692810457,14.800000190734863,87,25,5,InfiniteSteps180,13,53,5,4,origB2,260,4,232,72,90,5,1,22.861802,MaxSatDddLadderSc,0.001194,ok,0.018647201,5,3,45,5
0.036309703,2.346820809248555,16.799999237060547,136,20,7,InfiniteSteps180,14,68,7,6,origB3,732,9,406,219,250,7,1,48.202604,MaxSatDddLadderSc,0.0030053,ok,0.039312003,5,6,55,7
0.09711321,2.3343465045592704,15.949999809265137,2246,25,301,InfiniteSteps180,15,66,301,16,origB4,2826,101,1536,889,907,10,1,119.50501,MaxSatDddLadderSc,0.0117108,ok,0.10882101,20,48,6,301
0.017190103999999998,1.546448087431694,17.799999237060547,136,25,2,InfiniteSteps180,16,73,2,3,origB5,319,3,283,96,110,2,1,21.442208,MaxSatDddLadderSc,0.001096102,ok,0.018285506,5,2,67,2
0.02777701,1.0127388535031847,15.199999809265137,93,25,2,InfiniteSteps180,17,2,2,2,origB6,10,1,159,0,4,2,1,33.286712,MaxSatDddLadderSc,0.0010997,ok,0.02887521,5,0,0,2
0.115792742,3.1018518518518516,15.25,2865,25,370,InfiniteSteps180,18,108,370,27,origB7,5186,234,2345,1516,1688,19,1,140.775652,MaxSatDddLadderSc,0.017136506,ok,0.132928148,24,67,20,370
0.015602206000000002,1.014388489208633,13.399999618530273,72,25,6,InfiniteSteps180,19,6,6,2,origB8,22,1,141,0,8,6,1,23.669508,MaxSatDddLadderSc,0.0007458,ok,0.016346506,5,0,0,6
0.024180408,2.786802030456853,13.571428298950195,150,25,35,InfiniteSteps180,20,101,35,7,origB9,1121,15,549,330,385,8,1,32.121612,MaxSatDddLadderSc,0.004101802,ok,0.02828091,7,9,82,35
0.021935708999999998,2.568421052631579,11.375,130,25,34,InfiniteSteps180,21,63,34,7,origB10,932,17,488,271,318,10,1,27.685109999999998,MaxSatDddLadderSc,0.0020181,ok,0.023951509,8,11,40,34
0.098443737,4.656603773584906,15.399999618530273,3202,25,425,InfiniteSteps180,22,297,425,56,origB11,9779,559,3702,2885,3089,29,15,249.032591,MaxSatDddLadderSc,0.146471353,ok,0.24491359,25,174,80,425
0.020971608000000003,1.4401709401709402,16.214284896850586,970,25,6,InfiniteSteps180,23,44,6,7,origB12,640,18,674,175,220,6,1,25.817909,MaxSatDddLadderSc,0.0009209,ok,0.021891408,14,14,24,6
0.387968811,4.337892196299276,20.931034088134766,5915,33,60,InfiniteSteps180,24,272,60,22,trackA1,12765,275,5392,3801,4321,25,1,979.4844459999999,MaxSatDddLadderSc,0.583753423,ok,0.971721534,29,104,141,60
0.152734544,4.348717948717948,19.0,3735,33,48,InfiniteSteps180,25,193,48,23,trackA2,10170,250,4240,2969,3451,48,1,360.68277,MaxSatDddLadderSc,0.19837771,ok,0.351110154,25,91,52,48
0.123604901,4.054644808743169,22.375,2061,33,18,InfiniteSteps180,26,199,18,14,trackA3,6853,131,2968,2048,2327,18,1,211.207534,MaxSatDddLadderSc,0.081959924,ok,0.205563625,16,66,115,18
